,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
352,cider vinegar,3,0.0,0.0,0.0,0.011,0.1,0.0,0.018,0.0,0.0,0.0,1.0
353,tartar sauce,32,2.5,0.5,1.1,0.1,2.0,0.078,0.6,0.2,0.056,0.3,3.9
354,pepper hot sauce,1,0.018,0.057,0.0,0.1,0.031,0.071,0.065,0.024,0.0,3.5,0.4
355,tomato chili sauce,6,0.095,0.076,0.0,0.083,1.2,0.4,0.6,0.2,0.0,1.0,1.2
356,turkey gravy dry,26,0.5,0.1,1.0,0.3,4.6,0.0,0.0,0.7,0.013,0.015,10.2
357,salsa sauce,5,0.039,0.07,0.0,0.1,1.2,0.3,0.7,0.3,0.0,0.3,5.4
358,steak sauce,16,0.004,0.0,0.0,0.3,3.7,0.3,1.7,0.2,0.0,1.2,3.2
359,molasses,58,0.068,0.052,0.0,0.007,14.9,0.0,14.9,0.0,0.0,0.0,41.0
360,italian dressing fat free,7,0.1,0.099,0.3,0.2,1.2,0.077,1.2,0.1,0.0,0.026,4.2
361,plum sauce,35,0.2,0.094,0.0,0.1,8.1,0.1,0.0,0.2,0.0,0.021,2.3
362,chow mein stir fry master foods,26,0.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,beef gravy instant,25,0.6,0.3,0.7,0.3,4.1,0.3,1.6,0.7,0.1,0.01,9.4
364,horseradish,2,0.085,0.007,0.0,0.039,0.6,0.2,0.4,0.003,0.0,0.081,0.027
365,grenadine,54,0.0,0.0,0.0,0.038,13.4,0.0,9.3,0.0,0.0,0.0,1.2
366,tabasco sauce,1,0.002,0.051,0.0,0.075,0.006,0.013,0.067,0.045,0.0,0.2,0.6
367,sweet sour sauce,26,0.084,0.0,0.0,0.024,6.7,0.065,3.3,0.02,0.0,1.5,1.8
368,salsa verde,6,0.1,0.0,0.0,0.034,1.0,0.3,0.5,0.2,0.0,1.8,1.4
369,miso,40,1.2,0.2,0.0,0.7,5.1,1.1,1.2,2.6,0.0,0.04,0.094
370,sprouted soybean cooked,76,4.2,0.6,0.0,0.2,6.1,0.8,0.4,8.0,0.0,7.8,55.5
371,soy flour roasted,375,18.6,2.7,0.0,0.083,28.6,8.2,6.5,29.6,0.0,0.0,159.8
372,soy flour low fat,330,7.8,1.1,0.0,0.085,30.7,14.1,9.3,40.0,0.0,0.0,250.8
373,green soybean cooked,127,5.8,0.7,0.0,0.2,9.9,3.8,0.0,11.1,0.0,0.007,0.0
374,azumaya tofu vitasoy,316,16.6,2.0,0.0,0.03,9.1,2.4,1.6,32.8,0.0,0.0,711.0
375,soy proteins isolate,96,1.0,0.1,0.0,0.3,2.1,1.6,0.0,22.8,0.0,0.0,50.4
376,tofu yogurt,246,4.7,0.7,0.0,0.03,41.8,0.5,3.2,9.2,0.0,0.048,0.013
377,bacon meatless,446,42.5,6.7,0.0,2.1,9.1,3.7,0.0,15.4,0.0,0.0,33.1
378,meatless chicken fried,304,16.6,1.5,0.0,0.5,11.1,5.6,0.0,27.7,0.0,0.0,54.6
